Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
Cry to Me,Solomon Burke,0.733,0.624,4,-9.849,1,0.0374,0.623,0.0,0.407,0.912,114.586,7
"Independent Women, Pt. 1",Destiny's Child,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,1
Mad World (Feat. Michael Andrews),Gary Jules,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,2
It'S A Kind Of Magic (Highlander),Queen,0.616,0.638,9,-11.878,1,0.035,0.0154,0.455,0.321,0.498,130.007,4
The Times They Are A-Changin',Bob Dylan,0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,2
Be My Baby,The Ronettes,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,5
Wind Beneath My Wings,Bette Midler,0.51,0.458,10,-7.566,1,0.0289,0.551,0.0,0.0853,0.177,123.694,2
Against All Odds - Live,Phil Collins,0.355,0.448,5,-10.929,0,0.0388,0.458,0.794,0.779,0.229,99.147,4
Into the Groove,Madonna,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,1
Raindrops Keep Falling on my Head,B.J. Thomas,0.579,0.433,5,-10.826,1,0.0471,0.776,0.00307,0.232,0.708,105.508,2
Oh Yeah - Remastered 2005,Yello,0.746,0.911,6,-7.931,1,0.0633,0.00612,0.844,0.0464,0.774,132.608,4
Come Together,Michael Jackson,0.825,0.775,11,-6.161,0,0.0381,0.112,0.000678,0.0782,0.765,89.601,1
Magic Dance,David Bowie,0.729,0.694,6,-12.756,0,0.0404,0.0536,0.0,0.274,0.735,105.823,1
Flash - Single Version,Queen,0.48,0.654,4,-11.353,0,0.118,0.186,0.0208,0.11,0.208,108.449,0
You're The Best,"Joe ""Bean"" Esposito",0.546,0.924,4,-4.174,0,0.0458,0.23,0.0,0.442,0.713,94.311,7
Pretty In Pink,The Psychedelic Furs,0.623,0.543,2,-13.304,1,0.0276,0.0271,0.00771,0.154,0.8,132.391,5
Son Of A Preacher Man,Dusty Springfield,0.41,0.487,4,-12.4,1,0.146,0.596,0.0,0.101,0.811,181.972,2
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,2
Stand by Me,Ben E. King,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,2
"Love Is All Around - From ""Four Weddings and a Funeral"" Original Motion Picture Soundtrack",Wet Wet Wet,0.438,0.673,10,-7.7,1,0.0314,0.255,0.0,0.208,0.596,169.851,3
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,2
Singin' In The Rain,Gene Kelly,0.354,0.241,5,-13.811,1,0.0334,0.889,0.000274,0.165,0.408,135.646,2
My Sharona,The Knack,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,5
"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.497,0.719,6,-9.397,1,0.0266,0.0613,0.0,0.411,0.547,95.769,7
Live And Let Die,Paul McCartney,0.356,0.479,7,-11.513,1,0.0632,0.093,0.000158,0.291,0.208,152.563,3
When You Believe (with Mariah Carey) - from The Prince of Egypt,Whitney Houston,0.436,0.39,1,-9.62,0,0.0326,0.557,0.0,0.12,0.119,125.313,2
Axel F,Harold Faltermeyer,0.801,0.379,1,-20.795,1,0.112,0.0216,0.816,0.0836,0.552,117.168,4
Lovefool - Radio Edit,The Cardigans,0.648,0.688,9,-4.671,1,0.0282,0.0251,3.08e-06,0.149,0.937,111.854,5
Call Me,Blondie,0.551,0.628,2,-13.799,1,0.036,0.0336,0.000194,0.151,0.777,142.167,5
"Never Ending Story - Giorgio Mix 7""",Limahl,0.596,0.64,0,-12.821,1,0.0295,0.0436,0.000198,0.063,0.65,122.184,5
9 To 5,Dolly Parton,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,7
